ID,Age,Sex,Experience,Income,ZIP Code,Family,CCAvg,Education,Mortgage,Securities Account,CD Account,Online,CreditCard,Personal Loan
1,25,A,1,49,91107,4,1.6,1,0,1,0,0,0,0
2,45,B,19,34,90089,3,1.5,1,0,1,0,0,0,0
3,39,A,15,11,94720,1,1,,0,0,0,0,0,0
4,35,A,9,100,94112,1,2.7,2,0,0,0,0,0,0
5,35,B,8,45,91330,4,1,2,0,0,0,0,1,0
6,37,A,13,29,92121,4,0.4,2,155,0,0,1,0,0
7,53,B,27,72,91711,2,1.5,2,0,0,0,1,0,0
8,,A,24,22,93943,1,0.3,3,0,0,0,0,1,0
9,35,A,10,81,90089,3,0.6,2,104,0,0,1,0,0
10,34,B,9,180,93023,1,8.9,3,0,0,0,0,0,1
11,65,A,39,105,94710,4,2.4,3,0,0,0,0,0,0
12,29,B,5,45,90277,3,0.1,2,0,0,0,1,0,0
13,48,B,23,114,93106,2,3.8,3,0,1,0,0,0,0
14,59,B,32,40,94920,4,2.5,2,0,0,0,1,0,0
15,67,B,41,112,91741,,2,1,0,1,0,0,0,0
16,60,B,30,22,95054,1,1.5,3,0,0,0,1,1,0
17,38,A,14,130,95010,4,4.7,3,134,0,0,0,0,1
18,42,A,18,81,94305,4,2.4,,0,0,0,0,0,0
19,46,A,21,193,91604,2,8.1,3,0,0,0,0,0,1
20,55,B,28,21,94720,1,0.5,2,0,1,0,0,1,0
21,56,A,31,25,94015,4,0.9,2,111,0,0,1,0,0
22,57,A,27,63,90095,3,2,3,0,0,0,1,0,0
23,29,A,5,62,90277,1,1.2,1,260,0,0,1,0,0
24,44,A,18,43,91320,2,0.7,,163,1,0,0,0,0
25,36,A,11,152,95521,2,3.9,1,159,0,0,0,1,0
26,43,A,19,29,94305,3,0.5,1,97,0,0,1,0,0
27,40,B,16,83,95064,4,0.2,3,0,0,0,0,0,0
28,46,B,20,158,90064,1,2.4,,0,0,0,1,1,0
29,56,B,30,48,94539,1,2.2,3,0,0,0,1,1,0
30,38,A,13,119,94104,1,3.3,2,0,0,1,1,1,1
31,59,B,35,35,93106,1,1.2,3,122,0,0,1,0,0
32,40,B,16,29,94117,1,2,2,0,0,0,1,0,0
33,53,A,28,41,94801,2,0.6,3,193,0,0,0,0,0
34,30,A,6,18,91330,3,0.9,3,0,0,0,0,0,0
35,31,A,5,50,94035,4,1.8,3,0,0,0,1,0,0
36,48,A,24,81,92647,3,0.7,1,0,0,0,0,0,0
37,59,B,35,121,94720,1,2.9,1,0,0,0,0,1,0
38,51,A,25,71,95814,1,1.4,3,198,0,0,0,0,0
39,42,B,18,141,94114,3,5,3,0,1,1,1,0,1
40,38,B,13,80,94115,4,0.7,3,285,0,0,1,0,0
41,57,A,32,84,92672,3,1.6,3,0,1,0,0,0,0
42,34,B,9,60,94122,3,2.3,1,0,0,0,0,0,0
43,32,B,7,132,90019,4,1.1,2,412,0,0,1,0,1
44,39,A,15,45,95616,1,0.7,1,0,0,0,1,0,0
45,46,B,20,104,94065,1,5.7,1,0,0,0,1,1,0
46,57,A,31,52,94720,4,2.5,1,0,0,0,0,1,0
47,39,A,14,43,95014,3,0.7,2,153,0,0,1,0,0
48,37,B,12,194,91380,4,0.2,3,211,1,1,1,1,1
49,56,A,26,81,95747,2,4.5,3,0,0,0,0,1,0
50,40,A,16,49,92373,1,1.8,1,0,0,0,0,1,0
51,32,A,8,8,92093,4,0.7,2,0,1,0,1,0,0
52,61,A,37,131,94720,1,2.9,1,0,0,0,1,0,0
53,30,A,6,72,94005,1,0.1,1,207,0,0,0,0,0
54,50,A,26,190,90245,3,2.1,3,240,0,0,1,0,1
55,,B,5,44,95819,1,0.2,3,0,0,0,1,0,0
56,41,A,17,139,94022,2,8,1,0,0,0,1,0,0
57,55,A,30,29,94005,3,0.1,2,0,1,1,1,0,0
58,56,B,31,131,95616,2,1.2,3,0,0,0,0,0,1
59,28,B,2,93,94065,2,0.2,1,0,0,0,0,0,0
60,31,B,5,188,91320,2,4.5,1,455,0,0,0,0,0
61,49,A,24,39,90404,3,1.7,2,0,1,0,1,0,0
62,47,B,21,125,93407,1,5.7,1,112,1,0,0,0,0
63,42,A,18,22,90089,1,1,1,0,0,0,0,0,0
64,42,B,17,32,94523,4,0,2,0,0,0,1,0,0
65,47,B,23,105,90024,2,3.3,1,0,0,0,0,0,0
66,59,A,35,131,91360,1,3.8,1,0,0,0,1,1,0
67,62,B,36,105,95670,2,2.8,1,336,0,0,0,0,0
68,53,A,23,45,95123,4,2,3,132,1,0,0,0,0
69,47,A,21,60,93407,3,2.1,1,0,0,0,1,1,0
70,53,B,29,20,90045,4,0.2,1,0,0,0,1,0,0
71,42,B,18,115,91335,1,3.5,1,0,0,0,0,1,0
72,53,A,29,69,93907,4,1,2,0,0,0,1,0,0
73,44,A,20,130,92007,1,5,1,0,0,0,0,1,0
74,41,B,16,85,94606,1,4,3,0,0,0,1,1,0
75,28,A,3,135,94611,2,3.3,1,0,0,0,0,1,0
76,31,B,7,135,94901,4,3.8,2,0,0,1,1,1,1
77,58,A,32,12,91320,3,0.3,3,0,0,0,0,0,0
78,46,B,20,29,92220,3,0.5,2,0,0,0,0,0,0
79,54,B,30,133,93305,2,2.6,3,0,0,0,0,0,1
80,50,B,26,19,94720,2,0.4,1,118,0,0,1,0,0
81,60,B,36,41,95134,4,1.3,1,174,0,0,1,1,0
82,47,B,22,40,94612,3,2.7,2,0,0,0,1,0,0
83,41,A,16,82,92507,1,4,3,0,0,0,1,0,0
84,33,B,9,50,94305,1,2.4,2,0,0,0,0,0,0
85,46,B,22,18,91730,1,0.9,3,0,0,0,1,0,0
86,27,A,2,109,94005,4,1.8,3,0,0,0,0,0,0
87,40,B,16,42,94501,4,2.2,2,126,0,0,0,0,0
88,48,B,22,78,94305,3,1.1,1,0,0,0,1,0,0
89,65,B,41,51,94117,2,1.1,1,0,0,0,1,0,0
90,25,A,-1,113,94303,4,2.3,3,0,0,0,0,1,0
91,55,A,30,118,90277,4,5.6,2,0,0,0,1,0,1
